Respondent Number ,Category 1: Materials,Category 1: Materials,Category 1: Materials,Category 1: Materials,Category 1: Materials,Category 2: Labor and Equipment,Category 2: Labor and Equipment,Category 2: Labor and Equipment,Category 2: Labor and Equipment,Category 2: Labor and Equipment,Category 2: Labor and Equipment,Category 2: Labor and Equipment,Category 2: Labor and Equipment,Category 3: Financing,Category 3: Financing,Category 3: Financing,Category 3: Financing,Category 3: Financing,Category 4: Design and Documentation,Category 4: Design and Documentation,Category 4: Design and Documentation,Category 4: Design and Documentation,Category 4: Design and Documentation,Category 4: Design and Documentation,Category 5: Management and Organization ,Category 5: Management and Organization ,Category 5: Management and Organization ,Category 5: Management and Organization ,Category 5: Management and Organization ,Category 5: Management and Organization ,Category 6: Schedule ,Category 6: Schedule ,Category 7: Contractual issues ,Category 7: Contractual issues ,Category 7: Contractual issues ,Category 7: Contractual issues ,Category 7: Contractual issues ,Category 8: Scope of work,Category 8: Scope of work,Category 8: Scope of work,Category 8: Scope of work,Category 9: External issues ,Category 9: External issues ,Category 9: External issues ,Respondant Information,Respondant Information,Respondant Information,Respondant Information,Respondant Information,Respondant Information
,1.Delay in delivering material to construction site,2.Monopoly of material by some suppliers ,3.Prices fluctuation,4.Types of material availability at local market,5.Lack of consultant’s knowledge of available materials ,6.Low productivity ,7.Poor work execution,8.Shortage of laborers,9.Mistakes happens during construction phase,10.Unavailability of equipment ,11.Lack of engineering experience ,12.Construction cost underestimation ,13.Poor site management ,14.Delayed payment for completed work ,15.Cash flow problem during construction,16.High rate of interest ,17.Contractor’s financial difficulties,18.Increase in salaries of skilled laborers,19.Change design ,20.Errors and omission in design,21.Incomplete design drawings and specifications at tendering stage,22.Delay in preparation and approval of drawing,23.Inaccurate quantity take-off,24.Long period from planning of project to construction ,25.Delays in issuing information to the contractor during construction stage,26.No practical use of earned value management system ,27.Lack of cost planning/monitoring during pre and post contract stage,"28.Poor communication between client, consultant and contractor",29.Insufficient coordination between local authority who is responsible about road projects and service authorities ,30.Delays in decisions making by the approval authorities,31.Change schedule,32.Stoppages because of work being rejected by consultant ,33.Lowest bid price,34.Insufficient time for preparation of contract documents ,35.Discrepancies in contract documents,36.Underestimation of time for completion of project,37.Extension of time with cost claims,38.Scope and specification changes ,39.Changes in client requirements,40.Frequency of variation orders and additional works,41.Rework due to error in execution,42.Weather conditions,43.Accidents during construction,44.Delay in getting NOCs from different government authorities ,Type of Organization,Respondents designation,Indicate the highest formal qualification,How often do you experience cost overrun,Location of organization,Relevant working experience
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,3,3,2,1,2,4,4,1,1,2,2,2,2,2,3,3,3,1,2,2,3,1,2,2,2,3,5
2,2,5,3,2,3,2,2,2,3,2,2,2,2,2,2,1,4,1,5,5,4,4,4,5,3,3,3,4,4,3,4,4,5,3,4,4,4,3,3,4,3,1,1,4,1,3,2,3,3,3
3,1,2,1,1,2,2,1,2,1,1,2,1,3,3,3,2,2,1,2,2,2,2,3,2,3,1,2,1,3,4,3,1,2,2,2,2,4,2,2,2,2,1,1,4,1,2,2,1,2,4
4,2,2,3,3,2,2,3,4,4,4,2,5,2,2,1,1,1,1,4,4,4,4,4,3,2,2,2,2,3,3,2,2,2,3,2,4,4,4,4,4,3,4,3,3,1,3,1,1,3,4
5,1,2,1,1,2,2,1,2,1,1,2,1,2,4,4,2,2,1,2,2,2,2,3,2,4,3,2,1,3,4,3,1,2,2,2,2,4,2,2,2,2,1,1,4,1,2,3,1,2,4
6,1,1,1,1,1,2,2,2,1,1,1,2,1,4,4,4,4,1,4,4,4,4,4,4,2,2,2,1,1,3,3,4,2,2,2,2,2,3,2,3,3,2,2,2,1,4,2,1,3,5
7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,4,4,4,4,4,4,2,2,2,1,2,4,3,4,2,2,2,2,4,4,3,4,4,2,2,2,1,5,2,1,3,5
8,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,2,2,2,1,1,3,3,4,2,2,2,2,2,3,2,3,3,2,2,2,1,4,2,1,3,5
9,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,4,4,4,4,4,2,2,2,1,2,4,3,4,2,2,2,2,2,4,3,4,4,2,2,2,1,4,2,1,3,5
10,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,4,4,4,4,4,4,2,2,2,1,1,3,3,4,2,2,2,2,2,3,2,3,3,2,2,2,1,4,2,1,3,5
11,2,4,4,1,1,5,1,4,5,3,2,5,2,1,1,1,1,3,5,2,3,4,3,2,2,1,2,1,5,1,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,5,3,2,3,4
12,2,1,3,4,4,3,3,4,3,4,5,4,3,3,4,2,4,2,4,4,5,3,4,3,3,3,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,2,2,3,1,2,2,1,3,5
13,5,5,5,5,3,3,4,5,2,4,5,3,5,5,5,2,5,5,5,4,5,3,3,5,3,5,5,5,5,5,3,3,1,1,2,3,5,5,5,3,4,3,5,5,1,5,2,1,3,3
14,4,4,3,3,4,3,3,4,4,4,4,4,4,5,5,5,4,4,4,3,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,3,1,3,5
15,2,5,2,3,4,5,4,5,5,5,5,5,4,3,5,5,5,2,5,5,5,3,5,3,3,3,3,3,4,3,2,2,1,3,3,2,3,5,4,4,3,3,2,3,1,1,3,2,3,3
16,3,3,2,4,1,4,2,3,2,3,3,2,4,3,3,1,4,1,2,3,2,2,2,1,2,1,2,2,2,4,2,1,2,1,1,4,3,2,3,4,3,1,1,2,1,2,2,2,3,5
17,5,3,2,4,4,5,5,5,5,5,4,5,4,4,4,5,3,4,4,4,4,5,5,3,4,4,4,5,5,5,4,4,4,5,4,5,5,4,4,5,5,5,5,5,1,3,2,2,1,2
18,4,3,3,3,3,4,4,4,5,4,3,4,3,4,4,3,3,3,5,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,2,5,3,1,5,3,2,3,3
19,1,5,3,3,4,1,2,1,3,4,5,3,5,2,3,3,2,2,4,5,4,1,4,4,1,1,2,4,2,2,2,2,4,3,3,2,1,1,5,5,3,2,4,1,1,5,2,3,3,1
20,3,3,5,4,3,5,4,4,3,4,5,4,5,4,3,2,4,1,4,3,4,3,5,5,4,3,5,2,2,3,3,2,1,3,3,4,5,4,3,4,5,3,2,5,1,4,2,1,3,5
21,4,3,3,4,4,4,3,4,4,3,4,4,4,4,5,3,4,3,4,4,4,3,4,3,4,3,4,4,4,3,3,3,4,3,1,4,4,4,4,4,4,3,4,3,1,2,2,2,3,1
22,4,3,4,3,5,4,5,4,4,5,3,4,4,3,4,3,5,2,3,5,3,4,5,3,3,4,5,3,4,4,2,4,4,3,5,4,3,3,4,2,5,3,2,4,1,5,2,1,3,3
23,2,4,5,2,5,3,5,1,4,3,2,3,5,5,5,1,5,1,5,5,5,5,5,5,3,2,5,3,5,5,1,4,5,1,1,5,5,5,5,4,2,1,2,5,1,5,2,2,3,1
24,3,2,4,3,3,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,3,3,3,4,3,4,3,3,3,2,3,3,3,2,4,1,1,2,2,3,4
25,2,3,3,2,3,2,3,3,3,3,4,4,3,3,3,3,3,3,4,5,3,4,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,5,2,2,4,1,5,2,1,3,4
26,4,3,4,2,3,2,1,3,5,4,3,5,1,1,4,5,1,1,4,5,5,1,4,2,1,3,3,3,2,2,3,3,3,4,4,5,5,5,5,4,4,2,4,1,1,3,3,2,1,1
27,4,4,5,3,4,4,4,3,4,4,4,3,2,3,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,3,3,2,3,3,2,3,4,3,4,3,2,2,3,3,1,4,2,2,3,2
28,3,2,3,2,1,3,3,3,3,4,4,3,4,3,3,3,4,3,2,2,3,3,3,2,2,2,2,3,3,4,3,3,2,2,2,3,4,5,5,5,3,5,5,5,1,3,2,1,2,4
29,2,2,3,2,1,2,2,3,2,3,2,3,2,4,4,2,3,2,2,2,2,2,2,4,2,2,2,2,3,3,3,2,3,4,2,4,3,4,4,3,2,2,2,4,1,2,3,2,2,5
30,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,4,4,4,4,4,4,3,3,3,1,1,3,3,4,2,2,2,2,2,3,2,3,3,2,2,2,1,4,2,1,3,5
31,4,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,3,2,3,3,2,2,2,3,2,3,3,3,3,2,2,4,3,5,5,5,5,1,1,1,1,3,2,1,2,4
32,2,2,3,2,1,2,2,3,2,3,2,3,2,4,4,2,3,2,2,2,2,2,2,4,2,2,2,2,3,3,3,2,3,4,2,4,3,4,4,3,2,2,2,4,1,2,3,2,1,5
33,4,3,2,3,4,3,3,2,2,2,2,3,4,2,2,3,2,5,2,2,3,4,5,3,3,3,3,2,3,2,2,2,2,2,2,3,4,5,5,5,5,1,1,1,1,3,2,1,2,4
34,1,2,1,1,2,2,1,2,1,1,2,1,3,3,3,2,2,1,2,2,2,2,3,2,3,2,3,1,4,4,3,2,2,2,2,2,4,2,2,2,2,1,1,4,1,2,3,1,2,4
35,2,2,2,2,3,2,2,2,2,2,2,3,2,3,2,3,2,2,4,4,3,3,3,4,4,4,4,3,5,5,4,1,3,3,4,3,5,4,4,5,2,3,2,3,1,2,2,2,3,5
36,3,4,4,3,2,2,3,2,3,2,4,4,5,5,5,4,4,3,5,5,5,5,4,5,3,4,5,2,4,5,5,4,5,5,4,5,3,5,5,5,5,2,2,5,1,5,2,2,3,3
37,4,3,1,3,1,4,4,4,4,4,4,3,3,3,3,2,4,2,3,3,1,2,3,4,3,2,3,4,5,2,3,3,2,3,5,4,2,3,3,3,3,2,2,4,1,3,3,2,2,5
38,4,3,3,3,3,5,5,5,5,5,4,4,4,2,2,3,3,3,3,2,2,4,3,2,3,4,4,4,4,3,4,4,3,4,4,5,3,5,3,3,4,3,2,4,1,2,2,2,3,4
39,3,5,2,2,3,2,3,2,2,3,3,2,2,5,4,4,5,2,5,4,4,4,4,3,4,3,4,4,4,4,3,3,5,3,4,4,5,4,5,4,3,3,3,5,1,3,3,1,2,4
40,4,3,1,3,1,4,4,4,4,4,4,3,3,3,3,2,4,2,3,3,1,2,3,4,3,2,3,3,4,5,2,3,3,2,3,5,4,2,3,3,3,2,2,4,1,3,2,2,2,5
41,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,4,4,5,3,3,5,4,3,4,5,3,5,4,4,3,3,5,1,3,3,1,2,4
42,4,3,1,3,1,4,4,4,4,4,4,3,3,3,3,1,2,3,3,3,1,2,3,4,3,2,3,3,4,5,2,3,3,2,3,5,4,2,3,3,3,2,2,4,1,3,2,2,1,5
43,4,5,3,4,4,4,5,4,4,4,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,4,4,4,4,4,1,2,3,4,5,4,5,4,4,3,3,5,1,3,3,1,2,4
44,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,3,3,4,4,4,,5,4,3,4,5,4,5,3,2,2,5,1,3,2,1,1,4
45,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,3,3,4,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,3,3,1,1,4
46,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,4,4,5,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,2,3,1,3,4
47,4,3,3,3,3,5,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,4,3,2,3,4,4,5,5,5,4,4,3,4,4,5,4,5,3,3,4,3,2,4,2,2,2,2,3,4
48,1,1,2,2,2,4,4,3,4,4,5,5,5,5,5,5,4,3,3,4,3,4,4,4,3,2,4,5,5,5,3,2,4,5,5,4,5,5,5,4,5,3,5,4,2,5,2,1,1,5
49,4,2,4,4,3,4,5,3,5,3,5,5,5,4,4,3,2,2,4,5,4,4,4,4,3,3,4,4,5,5,3,3,4,3,4,4,3,4,4,4,4,3,3,3,2,5,3,2,3,3
50,5,4,4,5,2,5,5,5,4,4,4,4,5,3,5,4,5,3,4,4,4,4,4,4,5,4,5,5,4,5,5,4,4,5,4,4,4,5,4,5,4,4,4,4,2,5,3,1,1,4
51,4,2,4,3,3,4,4,3,4,3,3,5,4,2,2,3,3,3,4,3,2,3,4,4,3,3,3,2,2,3,4,4,4,3,3,4,3,4,4,3,4,3,3,2,2,5,2,1,3,4
52,5,4,4,5,2,5,5,5,4,4,4,4,5,4,5,4,5,3,4,4,4,4,4,4,5,4,5,5,4,5,5,4,4,5,4,4,4,4,5,4,5,4,4,4,2,4,2,1,3,3
53,5,4,1,3,1,4,4,4,4,4,4,3,3,3,3,2,4,2,3,3,1,2,3,4,3,2,3,3,4,5,1,2,3,2,3,5,4,2,3,3,3,2,2,4,2,3,2,2,3,5
54,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,4,4,5,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,2,3,1,3,4
55,2,3,4,2,4,3,2,3,4,3,4,5,5,3,5,4,5,4,5,4,5,3,5,5,3,4,4,3,3,4,3,3,3,4,3,4,4,4,5,4,4,3,3,3,2,3,2,1,3,5
56,1,1,1,1,1,5,5,3,2,5,5,5,4,5,5,5,5,3,5,4,4,3,1,1,2,2,5,5,5,5,2,2,3,5,4,5,3,4,5,4,5,2,1,5,2,3,2,1,1,5
57,1,1,4,3,4,4,4,4,5,3,3,5,5,4,2,3,2,5,5,4,3,5,5,4,4,3,4,4,3,5,5,3,3,2,2,5,3,4,5,4,3,2,2,4,2,5,2,1,3,4
58,1,1,4,3,4,4,4,4,5,3,3,5,5,3,2,4,2,5,5,4,3,5,5,3,3,5,3,4,4,5,5,3,3,4,4,3,1,4,5,4,3,2,2,4,2,5,2,1,3,4
59,1,1,4,3,4,4,4,4,5,3,3,5,5,3,2,4,2,5,5,4,3,5,5,3,3,5,3,4,4,5,5,3,3,4,4,5,3,4,5,4,3,2,2,4,2,5,2,1,1,4
60,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,3,3,4,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,3,3,1,1,4
61,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,3,3,4,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,3,2,1,2,4
62,5,4,1,3,1,4,4,4,4,4,4,3,3,3,3,2,4,2,3,3,1,2,3,4,3,2,3,3,4,5,1,2,3,2,3,5,4,2,3,3,3,2,2,4,2,5,2,2,1,5
63,1,1,4,3,4,4,4,4,5,3,3,5,5,3,2,4,2,5,5,4,3,5,5,3,3,5,3,4,4,5,5,4,3,4,4,5,3,5,4,5,4,3,2,2,2,5,2,1,1,4
64,3,4,3,2,1,3,3,2,3,3,3,3,4,2,3,3,3,3,3,2,3,4,2,2,2,2,3,2,2,3,3,2,2,3,3,2,3,2,2,3,3,3,2,3,2,4,3,2,2,5
65,3,3,3,3,3,4,4,4,4,4,4,4,4,3,2,4,2,2,4,4,4,4,4,4,5,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,5,3,1,3,5
66,5,3,2,3,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,4,4,4,5,5,4,4,4,5,5,4,5,5,5,5,4,4,4,5,2,2,3,1,1,5
67,5,3,2,3,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,4,4,4,5,5,4,4,4,5,5,4,5,5,5,5,4,4,4,5,2,2,3,1,2,5
68,3,4,5,4,3,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,5,5,5,5,3,4,5,2,2,4,1,3,5
69,2,2,3,3,1,2,3,3,2,2,3,2,3,4,4,1,4,2,3,3,3,3,3,4,3,3,3,2,2,5,4,1,4,3,3,3,4,4,4,3,3,1,1,2,2,2,4,2,2,3
70,4,5,4,3,4,4,4,4,4,4,5,5,5,3,4,4,5,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,3,4,4,5,4,4,5,5,4,4,3,4,2,4,2,2,3,3
71,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,5,4,5,3,4,4,5,4,4,4,4,4,5,5,4,4,5,2,2,3,2,1,5
72,3,3,3,3,3,3,2,3,2,3,3,3,4,4,4,4,5,4,,2,2,3,3,2,3,3,4,3,3,4,3,3,3,2,2,4,5,4,5,5,2,2,2,4,2,2,3,2,3,5
73,1,1,5,1,1,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,3,3,3,5,5,3,3,1,1,1,1,1,5,5,5,5,1,1,1,2,4,3,2,3,4
74,4,4,1,3,3,4,4,5,4,5,3,5,5,3,5,3,4,2,5,5,4,5,4,3,5,3,5,3,4,4,3,4,5,5,5,3,2,5,5,5,4,3,3,4,2,4,3,2,1,4
